"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lcl|CP002686.1_cds_AEE75822.1_23325",2995.45324220933,0.175065925070912,0.0900655399956344,15.3769221354648,0.0175192209991025,0.04218678426849
"lcl|CP002684.1_cds_AEE27973.1_1111",9.19815516870854,0.625287837796911,0.578680362338592,15.3765554428379,0.0175217035277354,0.0421889987536963
"lcl|CP002684.1_cds_AEE29938.1_3821",44.6870037447686,0.27009829533878,0.301190376010876,15.3751966378775,0.0175309056462877,0.0422073909218596
"lcl|CP002687.1_cds_AEE82278.1_30379",55.0402785487689,-0.146400299423425,0.180078639244354,15.3733548777065,0.0175433858269602,0.042233671364752
"lcl|CP002684.1_cds_ANM60944.1_10519",1020.30119073758,0.377202105298385,0.0589093533727438,15.3694768121902,0.0175696922861926,0.0422899932773536
"lcl|CP002686.1_cds_AEE75295.1_22610",79.9170562325577,-0.266676616437273,0.208375293203594,15.3693792404844,0.0175703546406069,0.0422899932773536
"lcl|CP002687.1_cds_AEE82414.1_30573",125.812969357878,0.0227621098879357,0.145894456979289,15.3692132887104,0.0175714812402311,0.0422899932773536
"lcl|CP002688.1_cds_AED96119.1_45104",495.276594974865,-0.348655229259485,0.267357643175323,15.3658946458511,0.0175940250914867,0.0423404754675575
"lcl|CP002687.1_cds_AEE85622.1_35064",271.664683762346,0.139634910687833,0.1026012918405,15.3655202266399,0.0175965702936665,0.0423428256825845
"lcl|CP002687.1_cds_AEE82568.1_30782",352.740071782605,-3.12210183775305,1.70719686229315,15.3643029042552,0.0176048477634661,0.0423589678694184
"lcl|CP002684.1_cds_AEE32314.1_6983",61.8139086607459,0.543927272521813,0.340183190975752,15.3629133094253,0.0176143011962667,0.0423779364074888
"lcl|CP002687.1_cds_AEE82123.1_30163",35.3972234968985,0.61773859240506,0.310510150242455,15.3618622046641,0.0176214551043029,0.0423913696716472
"lcl|CP002687.1_cds_AEE84453.1_33474",151.526551801523,3.76329437234035,1.64839365691196,15.3610106404063,0.0176272529621503,0.0424015386259389
"lcl|CP002686.1_cds_AEE79296.1_28068",463.159711535586,0.115008520119054,0.0652606069129314,15.3603358601051,0.0176318484868088,0.0424088138691006
"lcl|CP002685.1_cds_ANM62457.1_19592",34.0894504762688,0.51217588415714,0.366426558595398,15.3564018681361,0.017658663393229,0.0424695259833234
